iso,year,CLI
USA,2008,101.1954
ZAF,2008,101.1021
AUS,2009,98.47849
AUT,2009,97.04504
BEL,2009,96.68328
BRA,2009,96.33882
CAN,2009,96.11423
CHE,2009,94.94062
CHL,2009,93.67142
CHN,2009,93.75288
CZE,2009,93.9306
DEU,2009,94.52858
DNK,2009,96.53848
EA19,2009,96.28488
ESP,2009,96.94212
EST,2009,89.19711
FIN,2009,95.69112
FRA,2009,97.09002
GBR,2009,94.8253
GRC,2009,99.32551
HUN,2009,95.70287
IDN,2009,96.67152
IND,2009,99.25869
IRL,2009,95.62503
ISR,2009,95.45768
ITA,2009,97.09243
JPN,2009,96.99878
KOR,2009,97.60149
MEX,2009,95.20695
NLD,2009,96.46935
NOR,2009,96.56171
NZL,2009,98.41074
POL,2009,98.35181
PRT,2009,96.01835
RUS,2009,91.13916
SVK,2009,98.89493
SVN,2009,94.16474
SWE,2009,95.18591
TUR,2009,89.03653
USA,2009,95.02144
ZAF,2009,96.44521
AUS,2010,100.5244
AUT,2010,100.0175
BEL,2010,100.5074
BRA,2010,101.6829
CAN,2010,100.8642
CHE,2010,100.8294
CHL,2010,101.218
CHN,2010,101.7551
CZE,2010,98.91654
DEU,2010,100.3174
DNK,2010,100.0741
EA19,2010,100.1302
ESP,2010,100.2068
EST,2010,96.52671
FIN,2010,102.8843
FRA,2010,99.80991
GBR,2010,102.6341
GRC,2010,101.515
HUN,2010,99.89678
IDN,2010,100.2239
IND,2010,101.8908
IRL,2010,95.86463
ISR,2010,99.83324
ITA,2010,100.1236
JPN,2010,99.49701
KOR,2010,102.7384
MEX,2010,100.9188
NLD,2010,99.86851
NOR,2010,98.66376
NZL,2010,100.8919
POL,2010,99.66563
PRT,2010,101.4127
RUS,2010,96.74955
SVK,2010,97.42067
SVN,2010,99.55372
SWE,2010,99.1272
TUR,2010,100.984
USA,2010,99.15876
ZAF,2010,98.51933
AUS,2011,100.6134
AUT,2011,102.2188
BEL,2011,102.2003
BRA,2011,102.0523
CAN,2011,100.932
CHE,2011,102.4192
CHL,2011,102.9965
CHN,2011,100.9412
CZE,2011,101.6882
DEU,2011,102.9902
DNK,2011,100.8711
EA19,2011,101.9057
ESP,2011,100.2619
EST,2011,104.3951
FIN,2011,103.9599
FRA,2011,101.4993
GBR,2011,100.6206
GRC,2011,99.07334
HUN,2011,102.1588
IDN,2011,100.4107
IND,2011,101.7059
IRL,2011,100.5886
ISR,2011,100.8044
ITA,2011,101.9944
JPN,2011,100.2317
KOR,2011,100.9276
MEX,2011,99.51709
NLD,2011,102.131
NOR,2011,100.6271
NZL,2011,99.36996
POL,2011,100.1038
PRT,2011,102.4502
RUS,2011,103.0824
SVK,2011,100.1199
SVN,2011,102.5315
SWE,2011,101.7513
TUR,2011,102.3237
USA,2011,100.2657
ZAF,2011,100.355
AUS,2012,99.33947
AUT,2012,100.2977
BEL,2012,99.64682
BRA,2012,100.6001
CAN,2012,99.92581
CHE,2012,99.09107
CHL,2012,100.396
CHN,2012,100.1192
CZE,2012,99.31599
DEU,2012,100.0395
DNK,2012,99.33868
EA19,2012,99.68266
ESP,2012,99.52351
EST,2012,102.948
FIN,2012,99.27442
FRA,2012,99.99982
GBR,2012,97.93395
GRC,2012,96.80573
HUN,2012,100.3886
IDN,2012,100.9161
IND,2012,99.86031
IRL,2012,99.21413
ISR,2012,100.8187
ITA,2012,99.50047
JPN,2012,99.96242
KOR,2012,98.49747
MEX,2012,101.2834
NLD,2012,99.85331
NOR,2012,100.548
NZL,2012,99.87862
POL,2012,99.93879
PRT,2012,97.66387
RUS,2012,102.7355
SVK,2012,98.60308
SVN,2012,100.5852
SWE,2012,99.08392
TUR,2012,100.6818
USA,2012,99.7992
ZAF,2012,100.2227
AUS,2013,99.93477
AUT,2013,99.67718
BEL,2013,98.85141
BRA,2013,100.6584
CAN,2013,99.58616
CHE,2013,100.3041
CHL,2013,100.0334
CHN,2013,100.9013
CZE,2013,97.68682
DEU,2013,99.21702
